,Toppling Goliath Kentucky Brunch,Westvleteren 12 (XII),Toppling Goliath Mornin' Delight,Cigar City Hunahpu's Imperial Stout - Double Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Barrel Aged,Russian River Pliny the Younger,AleSmith Speedway Stout - Bourbon Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Vanilla Bean,Bell's Black Note Stout,Founders CBS (Canadian Breakfast Stout),AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee,Rochefort Trappistes 10,AleSmith Speedway Stout,Hill Farmstead Ann,Cigar City Hunahpu's Imperial Stout,Bell's Expedition Stout,Founders KBS (Kentucky Breakfast Stout),Three Floyds Dark Lord Russian Imperial Stout,Russian River Pliny the Elder,Funky Buddha Morning Wood,Perennial Abraxas - Barrel Aged,Goose Island Bourbon County Stout,Cigar City Hunahpu's Imperial Stout - Bourbon Barrel Aged,Szałpiw Buba Extreme Jack Daniels BA,Alchemist Heady Topper,Mikkeller Beer Geek Vanilla Shake (Bourbon Edition),Goose Island Bourbon County Stout - Coffee,Three Floyds Dreadnaught Imperial IPA,Toppling Goliath Assassin,Hill Farmstead Aaron,Mikkeller Beer Geek Brunch Weasel,Prairie / Evil Twin Bible Belt - Barrel Aged,Bell's Bourbon Barrel-Aged Expedition Stout,Cycle Trademark Dispute (Yellow),Firestone Walker Parabola,Funky Buddha Last Buffalo in the Park,Evil Twin Double Barrel Jesus,Omnipollo / Siren / David Strachan Lorelei - Barrel Aged Extra Maple,Funky Buddha Wide Awake It's Morning,AleSmith Speedway Stout - Vietnamese Coffee,Surly Darkness,Cycle Trademark Dispute (Green),Westvleteren Extra 8,Deschutes The Abyss,Hill Farmstead Abner,Stone Imperial Russian Stout - Bourbon Barrel,Toppling Goliath King Sue,Hair of the Dog Matt,Bell's Hopslam,Närke Kaggen Stormaktsporter Börb'nåhallon
0,3,4.7,4.3,3.4,3,4.4,4.2,4.4,4.1,4.3,4.2,4.4,4,4.4,4.1,4.5,4.4,3.8,3.9,4.5,4.6,4.7,4.4,4.9,4.1,4.4,3.6,4.2,4.8,4.5,4.4,4.6,4.4,4.2,4.2,4.5,4.5,4.4,4.1,4.2,4.4,4.2,4.7,4.5,4.4,4.3,3.9,4.2,4.8,4
1,4.5,5,4.4,4.3,4.9,4.1,4.4,4.6,2.6,4.6,4.2,4.1,4.8,4.7,4.1,4.2,4.4,4.4,4.3,4.2,3.9,4.3,4.4,3.9,4.6,4.6,4.1,4,4,4.1,4,4.4,4.5,4.4,4,4.5,4.1,4.3,4.2,3.9,4.7,4.3,4.1,3.9,5,4,4,4.3,3.9,3.6
2,5,4.7,3.9,4.5,4.1,4.4,4.1,5,4,5,4.2,5,4.7,5,4.3,4.4,4,4.2,4.9,4.2,5,4.6,4.9,4.6,4.6,4.4,4.4,4.2,4.6,4.4,4,4.5,4.5,4.5,4.2,4.5,4.5,4.5,4.3,3.8,4.4,4.2,4,4.1,4,4.8,4.1,4.3,4.2,4.4
3,4.6,3.9,4.4,4.3,4.5,4.3,4.2,3.8,4.2,4.2,4.1,4,4.4,3.9,4.4,3.7,4.7,4.6,4.4,4.3,4.9,4,4.3,4.5,3.9,4.5,4,3.6,4.6,3.6,4.2,4.3,4.6,3.6,4.6,4.3,3.9,4,4.4,3.3,4.6,4.4,3.9,4.2,4.1,4.2,4.3,4.6,4,4.4
4,4.9,4.2,5,4.5,4.5,5,4.4,4.5,4.2,4,4.2,4.1,4.4,4.2,4.1,4,4.3,4.2,4.1,4.3,4.3,4.5,3.7,3.6,4.7,4.6,4.2,4.4,4.5,4.7,3.2,4,4.1,4.2,3.6,4.5,3.8,4.5,4.2,4.2,4.1,4.2,3.8,4,4.2,3.8,4,4,3.8,4.2
5,3,5,4.7,4.5,4.4,3.7,3.7,4.9,3.9,4.3,3.7,4,4.1,3.7,4.2,4.2,4.4,4.7,4.5,4.4,4.3,4.6,4.2,3.8,4.1,4.3,4,3.6,4.4,4.6,4.1,4.1,4.4,4.3,4.3,3.5,4.1,4.3,4.3,4.2,4.4,4.5,3.9,3.9,4.5,3.7,3.6,4.8,4.3,4.2
6,5,4.5,4.2,4.4,4.3,4.8,4.3,4.1,4.7,4,4.5,5,3.9,4.6,4.1,4.1,4.6,4.1,3.9,4.4,4.4,4.6,4.4,4.8,4.6,4.4,4.2,4.1,3.8,4.6,4.2,4.2,4.6,4.4,5,4.5,4.1,4.4,4.4,4,4.4,4.5,3.6,4.2,4.2,4.1,4,3.4,3,4.3
7,4.9,4.5,4,4.4,4.2,4.2,4.3,4.8,4.3,4.6,4.7,4.2,4.3,4.4,4.2,4,3.9,4,4.5,0.5,4.5,5,4.5,4.6,4.7,3.9,4.3,4,4.7,4,3.8,4.5,4.2,4.5,4.2,4.4,4,4,4,4.3,3.4,4.3,3.8,4.1,4.1,3.2,4.8,4.4,3.4,4.1
8,4.7,4.2,4.1,4.2,4.8,4.2,4.2,4.1,4,4.6,4.4,3.9,4.5,4.2,4.3,4.9,4.6,4.5,4.3,4.6,4.5,4.5,4.1,3.4,4.1,3.9,4.7,4.3,4.7,4.6,4.3,4.8,3.9,4.7,4.5,4.3,4,4.5,4.3,3.8,3.8,4.6,4.5,4.1,4.5,3.8,3.9,4.3,4.4,4.2
9,5,4,4.8,4.5,3.9,4.3,4.6,4,5,3.4,4.3,4.3,4.5,4.3,4.1,4.5,4.2,4.7,3.6,4.2,4.7,4.6,4.6,4.8,3.8,4.2,4.3,4.3,3.9,4.7,4.3,4.3,4.2,3.8,4.6,4.2,4.5,4.7,4.5,4.1,3.1,4.3,3.9,4.3,4.2,4.2,3.8,3.9,4.3,3.6
10,3,4.7,4.3,3.4,3,4.4,4.2,4.4,4.1,4.3,4.2,4.4,4,4.4,4.1,4.5,4.4,3.8,3.9,4.5,4.6,4.7,4.4,4.9,4.1,4.4,3.6,4.2,4.8,4.5,4.4,4.6,4.4,4.2,4.2,4.5,4.5,4.4,4.1,4.2,4.4,4.2,4.7,4.5,4.4,4.3,3.9,4.2,4.8,4
11,4.5,5,4.4,4.3,4.9,4.1,4.4,4.6,2.6,4.6,4.2,4.1,4.8,4.7,4.1,4.2,4.4,4.4,4.3,4.2,3.9,4.3,4.4,3.9,4.6,4.6,4.1,4,4,4.1,4,4.4,4.5,4.4,4,4.5,4.1,4.3,4.2,3.9,4.7,4.3,4.1,3.9,5,4,4,4.3,3.9,3.6
12,5,4.7,3.9,4.5,4.1,4.4,4.1,5,4,5,4.2,5,4.7,5,4.3,4.4,4,4.2,4.9,4.2,5,4.6,4.9,4.6,4.6,4.4,4.4,4.2,4.6,4.4,4,4.5,4.5,4.5,4.2,4.5,4.5,4.5,4.3,3.8,4.4,4.2,4,4.1,4,4.8,4.1,4.3,4.2,4.4
13,4.6,3.9,4.4,4.3,4.5,4.3,4.2,3.8,4.2,4.2,4.1,4,4.4,3.9,4.4,3.7,4.7,4.6,4.4,4.3,4.9,4,4.3,4.5,3.9,4.5,4,3.6,4.6,3.6,4.2,4.3,4.6,3.6,4.6,4.3,3.9,4,4.4,3.3,4.6,4.4,3.9,4.2,4.1,4.2,4.3,4.6,4,4.4
14,4.9,4.2,5,4.5,4.5,5,4.4,4.5,4.2,4,4.2,4.1,4.4,4.2,4.1,4,4.3,4.2,4.1,4.3,4.3,4.5,3.7,3.6,4.7,4.6,4.2,4.4,4.5,4.7,3.2,4,4.1,4.2,3.6,4.5,3.8,4.5,4.2,4.2,4.1,4.2,3.8,4,4.2,3.8,4,4,3.8,4.2
15,3,5,4.7,4.5,4.4,3.7,3.7,4.9,3.9,4.3,3.7,4,4.1,3.7,4.2,4.2,4.4,4.7,4.5,4.4,4.3,4.6,4.2,3.8,4.1,4.3,4,3.6,4.4,4.6,4.1,4.1,4.4,4.3,4.3,3.5,4.1,4.3,4.3,4.2,4.4,4.5,3.9,3.9,4.5,3.7,3.6,4.8,4.3,4.2
16,5,4.5,4.2,4.4,4.3,4.8,4.3,4.1,4.7,4,4.5,5,3.9,4.6,4.1,4.1,4.6,4.1,3.9,4.4,4.4,4.6,4.4,4.8,4.6,4.4,4.2,4.1,3.8,4.6,4.2,4.2,4.6,4.4,5,4.5,4.1,4.4,4.4,4,4.4,4.5,3.6,4.2,4.2,4.1,4,3.4,3,4.3
17,4.9,4.5,4,4.4,4.2,4.2,4.3,4.8,4.3,4.6,4.7,4.2,4.3,4.4,4.2,4,3.9,4,4.5,0.5,4.5,5,4.5,4.6,4.7,3.9,4.3,4,4.7,4,3.8,4.5,4.2,4.5,4.2,4.4,4,4,4,4.3,3.4,4.3,3.8,4.1,4.1,3.2,4.8,4.4,3.4,4.1
18,4.7,4.2,4.1,4.2,4.8,4.2,4.2,4.1,4,4.6,4.4,3.9,4.5,4.2,4.3,4.9,4.6,4.5,4.3,4.6,4.5,4.5,4.1,3.4,4.1,3.9,4.7,4.3,4.7,4.6,4.3,4.8,3.9,4.7,4.5,4.3,4,4.5,4.3,3.8,3.8,4.6,4.5,4.1,4.5,3.8,3.9,4.3,4.4,4.2
19,5,4,4.8,4.5,3.9,4.3,4.6,4,5,3.4,4.3,4.3,4.5,4.3,4.1,4.5,4.2,4.7,3.6,4.2,4.7,4.6,4.6,4.8,3.8,4.2,4.3,4.3,3.9,4.7,4.3,4.3,4.2,3.8,4.6,4.2,4.5,4.7,4.5,4.1,3.1,4.3,3.9,4.3,4.2,4.2,3.8,3.9,4.3,3.6
20,4.5,4.3,4.5,4.5,4.6,4.5,4.4,4.4,3.5,4.9,4.7,3.8,4.2,4.3,4,4.2,4.3,4.4,5,4.5,4.8,4,4.1,4.6,4.2,4.2,4.4,4.5,4.1,4.2,4.3,4.3,4.2,5,4.3,4.1,4.1,4.3,3.8,4.6,4.1,4,3.4,4.1,4.2,3.5,3.8,4.4,4.3,4.2
21,4.8,4.8,4.4,3.9,4.4,3.6,4.1,4.3,4.5,3.8,4.5,4.6,4.7,4.3,4.5,3.9,4,4.2,4.7,4,4.5,4.3,4.1,4.2,4.3,4.5,4.2,4.4,4.2,3.7,3.2,4,4.1,4.1,4.3,4.1,4.2,4.2,3.8,4.4,4,4.1,3.7,3.9,4.2,4,3.9,3.8,3.1,4
22,4.9,3.7,4.9,4,4.2,4.2,4.3,4.6,4.5,4.3,4.4,5,4.3,4.3,4.3,4.3,4.1,4.7,4.1,4.6,4.5,5,4,3.9,2.8,4.5,4.5,4.2,4.4,4.3,4.2,3.8,4.1,4.2,4.6,4.3,4.1,4.4,0.5,4.2,4.7,4.5,3.8,4.8,4.2,4,4.1,4.2,3.9,3.8
23,4.8,4,4.8,4.4,3.5,4.7,4.7,4.7,4,4.1,4.1,4.7,4.1,3.3,4.3,3.5,4.4,4,3.5,3.9,4.3,4.8,4.3,4.2,4.5,4.4,3.9,4.1,4.4,4.4,4.6,4.5,4.3,3.5,4.1,3.9,4.2,4.5,4,4.4,4.8,3.8,3.9,4,4,3.5,3.8,3.8,4.2,4.4
24,4.7,4.7,4.7,3.9,4,4,4.7,4.3,4.6,4.8,4.2,4.2,4.1,4.2,4.4,3.9,4.2,4.6,4.2,4.2,4.1,4.5,4.7,4.9,4.1,4.6,4.3,4.2,3.7,4.8,3.9,4.1,4.2,4.2,4.3,3.9,4.1,5,4.1,3.8,4.3,4.3,3.6,4,4.1,4.7,4,4.4,4.3,4
