,Rank,Name,Type,Reviews,ABV,Score,Link,Brewery,City,State,Description
0,1.0,Toppling Goliath Kentucky Brunch,Imperial Stout,130.0,12.0,4.53,https://www.ratebeer.com/beer/toppling-goliath-kentucky-brunch/166019/,Toppling Goliath,Decorah,Iowa,"This beer is the real McCoy. Barrel aged and crammed with coffee, none other will stand in it’s way. Sought out for being delicious, it is notoriously difficult to track down. If you can find one, shoot to kill, because it is definitely wanted... dead or alive."
1,2.0,Westvleteren 12 (XII),Abt/Quadrupel,3444.0,10.2,4.43,https://www.ratebeer.com/beer/westvleteren-12-40xii41/4934/,Westvleteren Abdij St. Sixtus,,Belgium,"Westvleteren has the smallest output of the Trappist breweries, with only a small part of their production available outside of Belgium."
2,3.0,Toppling Goliath Mornin' Delight,Imperial Stout,220.0,12.0,4.4,https://www.ratebeer.com/beer/toppling-goliath-mornin39-delight/151817/,Toppling Goliath,Decorah,Iowa,A huge Imperial Stout with an explosive espresso aroma followed by strong notes of maple syrup and vanilla.
3,4.0,Cigar City Hunahpu's Imperial Stout - Double Barrel Aged,Imperial Stout,313.0,11.0,4.39,https://www.ratebeer.com/beer/cigar-city-hunahpu39s-imperial-stout-double-barrel-aged/249005/,Cigar City Brewing,Tampa,Florida,"50% aged in Rum barrels, 50% aged in Apple Brandy barrels"
4,5.0,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Barrel Aged,Imperial Stout,407.0,15.0,4.35,https://www.ratebeer.com/beer/three-floyds-dark-lord-russian-imperial-stout-bourbon-barrel-aged/58590/,Three Floyds Brewing Company,Munster,Indiana,"Dark Lord aged in a variety of Bourbon barrels including Woodford Reserve and Heaven Hill. This listing is specifically for Bourbon barrel aged variants of Dark Lord. NOT Brandy.
"
5,6.0,Russian River Pliny the Younger,Imperial IPA,728.0,11.0,4.35,https://www.ratebeer.com/beer/russian-river-pliny-the-younger/43181/,Russian River Brewing,Santa Rosa,California," Pliny the Younger was Pliny the Elder’s nephew, in the case of this beer, the ""Younger"" is a triple IPA. Pliny the Younger is hopped three times more than our standard IPA, and is dry hopped four different times."
6,7.0,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Vanilla Bean,Imperial Stout,424.0,14.0,4.33,https://www.ratebeer.com/beer/three-floyds-dark-lord-russian-imperial-stout-bourbon-vanilla-bean/86808/,Three Floyds Brewing Company,Munster,Indiana,Dark Lord Russian Imperial Stout aged in a variety of Bourbon barrels with vanilla beans.This listing is specifically for Bourbon Vanilla Bean Dark Lord. NOT Brandy.
7,8.0,AleSmith Speedway Stout - Bourbon Barrel Aged,Imperial Stout,858.0,12.0,4.33,https://www.ratebeer.com/beer/alesmith-speedway-stout-bourbon-barrel-aged/28173/,AleSmith Brewing Company,San Diego,California,"Special Markings: Gold foil neck and white numbering above rear label.Some bottles have paper labels, some do not.We’ve matured our Russian Imperial Stout in premium bourbon barrels for up to one year to create the perfect blend of flavors. Notes of oak, vanilla, and bourbon add another level of complexity to this beer’s already massive flavor profile of chocolate, Ryan Bros. Coffee, and roasted barley. Designed to be enjoyed now or aged in the bottle for years to come, this special release is truly a unique beer that is smooth as it is rare."
8,9.0,Bell's Black Note Stout,Imperial Stout,956.0,10.8,4.31,https://www.ratebeer.com/beer/bell39s-black-note-stout/71826/,Bell's Brewery,Galesburg,Michigan,"One of the most sought-after stouts in Bell’s history, Black Note Stout blends the complex aromatics of Expedition Stout with the velvety smooth texture of Double Cream Stout, each aged in freshly retired oak bourbon barrels for months.The resulting harmony of flavors captures the finest features of all three components: malty notes of dark chocolate, espresso and dried fruits, all buoyed by the warmth and fragrance of the bourbon barrel. Aimed squarely at the stout and bourbon aficionados, Black Note makes a grand statement about the art of the dark."
9,10.0,Founders CBS (Canadian Breakfast Stout),Imperial Stout,1015.0,11.7,4.3,https://www.ratebeer.com/beer/founders-cbs-40canadian-breakfast-stout41/98973/,Founders Brewing Company,Grand Rapids,Michigan,"Imperial Stout brewed with Chocolate and Coffee, aged in Maple Syrup-Bourbon Barrels.
CBS was born when we stumbled upon some bourbon barrels that had previously housed maple syrup. We opted to put the same base beer as KBS, an imperialized version of Breakfast Stout, in the maple barrels and, after one taste, we knew we had something special. Rich maple syrup, roasted coffee and velvety chocolate meld together in what can only be described as a transcendental drinking experience.
Backstage Series #2: 10.6% ABVBarrel-Aged Series (2017): 11.7% ABV"
10,11.0,Rochefort Trappistes 10,Abt/Quadrupel,4845.0,11.3,4.3,https://www.ratebeer.com/beer/rochefort-trappistes-10/2360/,Brasserie Rochefort,,Belgium,"The top product from the Rochefort Trappist brewery. Dark color, full and very impressive taste. Strong plum, raisin, and black currant palate, with ascending notes of vinousness and other complexities. "
11,12.0,AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee,Imperial Stout,182.0,12.0,4.3,https://www.ratebeer.com/beer/alesmith-speedway-stout-bourbon-barrel-aged-vietnamese-coffee/296243/,AleSmith Brewing Company,San Diego,California,Vietnamese Speedway stout aged in bourbon barrels.
12,13.0,AleSmith Speedway Stout,Imperial Stout,2964.0,12.0,4.29,https://www.ratebeer.com/beer/alesmith-speedway-stout/14232/,AleSmith Brewing Company,San Diego,California,"Bottle conditioned.Speedway Stout’s ominous, pitch-black appearance has become a hallmark of this modern-day classic. Chocolate and roasted malts dominate the flavor, supported by notes of dark fruit, toffee, and caramel. A healthy dose of locally-roasted coffee from Ryan Bros. Coffee, Inc. added to each batch brings out the beer’s dark chocolate flavors and enhances its drinkability. Despite its intensity, Speedway Stout’s fine carbonation and creamy mouthfeel make it very smooth and surprisingly easy to drink. This beer ages very well and will continue to mature for many years to come."
13,14.0,Hill Farmstead Ann,Saison,123.0,6.5,4.29,https://www.ratebeer.com/beer/hill-farmstead-ann/175070/,Hill Farmstead Brewery,Greensboro,Vermont,"Ann is the wine barrel aged version of Anna (1902-?), our grandfather’s sister as well as the name of our Honey Saison. In her honor, we fill French Oak wine barrels with honey saison and allow the beer to mature in the presence of our resident microflora. After many months, a beautifully complex beer emerges--Anna becomes Ann. Naturally carbonated and dipped in beeswax, Ann displays the microflora of her landscape. This the ale that I dreamed to have shared with Anna."
14,15.0,Cigar City Hunahpu's Imperial Stout,Imperial Stout,1006.0,11.0,4.29,https://www.ratebeer.com/beer/cigar-city-hunahpu39s-imperial-stout/97078/,Cigar City Brewing,Tampa,Florida,"In Mayan mythology, Hun Hunahpu was the father of the Mayan hero twins Hunahpu and Xbalanque. Hun Hunahpu, along with his brother Vucub Hunahpu, was tricked by the Dark Lords of the underworld and slain. Hun Hunahpu’s corpse morphed into a cacao tree, his head becoming a cacao pod, which in typically awesome mythology fashion, spit upon the hand of a young maiden named Xiquic who promptly became pregnant with the hero twins. The twins would ultimately grow up to avenge their father and uncle and defeat the Dark Lords and ascend the heavens to become the moon and sun. We brew Hunahpu’s Imperial Stout once a year and release it only at the brewery. We will continue to do so until the end of the cycle. Released on the second Saturday in March at the brewery."
15,16.0,Founders KBS (Kentucky Breakfast Stout),Imperial Stout,2723.0,11.2,4.28,https://www.ratebeer.com/beer/founders-kbs-40kentucky-breakfast-stout41/40544/,Founders Brewing Company,Grand Rapids,Michigan,A bit of backwoods pleasure without the banjo. This strong stout is brewed with a hint of coffee and vanilla then aged in oak bourbon barrels. Our process ensures that strong bourbon undertones come through in the finish in every batch we brew. We recommend decanting at room temperature and best enjoyed in a brandy snifter.2016 vintage - 12.4% abv2017 vintage - 11.9% abv
16,17.0,Three Floyds Dark Lord Russian Imperial Stout,Imperial Stout,1831.0,15.0,4.28,https://www.ratebeer.com/beer/three-floyds-dark-lord-russian-imperial-stout/15917/,Three Floyds Brewing Company,Munster,Indiana,"Dark Lord is a demonic Russian-Style Imperial Stout brewed with coffee, Mexican vanilla, and Indian sugar. (2017 version)DarkLord is only available once a year at DarkLord Day at the Three Floyds Brewpub.Vintage guide:Red wax = 2004Orange wax = 2005Gold wax = 2006Silver wax = 2007Black wax = 2008White wax = 2009Green wax = 2010 - 15% ABVYellow wax = 2011 - 15% ABVRed wax = 2012 - 15% ABVOrange wax = 2013 - New Label 15% ABVBlue wax = 2014 - 15% ABVBurgundy wax = 2015 Black speckled wax = 2016 Green wax = 2017"
